用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型
1000000065,7,734,6.9306930693069315,726.7326732673268,高价值用户
1000000066,6,699,5.9405940594059405,692.0792079207921,低价值用户
1000000067,7,689,6.9306930693069315,682.1782178217821,大众型用户
1000000068,7,711,6.9306930693069315,703.960396039604,大众型用户
1000000069,6,548,5.9405940594059405,542.5742574257425,低价值用户
1000000070,8,667,7.920792079207921,660.3960396039604,大众型用户
1000000071,7,742,6.9306930693069315,734.6534653465346,高价值用户
1000000072,7,798,6.9306930693069315,790.09900990099,高价值用户
1000000073,4,404,3.96039603960396,400.0,低价值用户
1000000074,7,636,6.9306930693069315,629.7029702970298,大众型用户
1000000075,7,629,6.9306930693069315,622.7722772277227,大众型用户
1000000076,7,725,6.9306930693069315,717.821782178218,大众型用户
1000000077,7,720,6.9306930693069315,712.8712871287129,大众型用户
1000000078,5,592,4.950495049504951,586.1386138613861,低价值用户
1000000079,6,597,5.9405940594059405,591.0891089108911,低价值用户
1000000080,7,603,6.9306930693069315,597.0297029702971,大众型用户
1000000081,7,680,6.9306930693069315,673.2673267326733,大众型用户
1000000082,5,508,7.4626865671641776,758.2089552238806,高价值用户
1000000083,7,748,6.9306930693069315,740.5940594059406,高价值用户
1000000084,7,1289,6.9306930693069315,1276.2376237623762,高价值用户
1000000085,7,569,6.9306930693069315,563.3663366336633,大众型用户
1000000086,4,325,7.6923076923076925,625.0,大众型用户
1000000087,7,651,6.9306930693069315,644.5544554455447,大众型用户
1000000088,7,538,6.9306930693069315,532.6732673267327,大众型用户
1000000089,5,388,7.246376811594202,562.3188405797101,大众型用户
1000000090,6,612,7.142857142857142,728.5714285714287,高价值用户
1000000091,7,761,6.9306930693069315,753.4653465346535,高价值用户
1000000092,3,254,8.823529411764705,747.0588235294118,高价值用户
1000000093,5,463,7.246376811594202,671.0144927536232,大众型用户
1000000094,6,626,7.142857142857142,745.2380952380953,高价值用户
1000000095,7,999,6.9306930693069315,989.1089108910893,高价值用户
1000000096,7,916,6.9306930693069315,906.9306930693068,高价值用户
1000000097,6,649,5.9405940594059405,642.5742574257425,低价值用户
1000000098,6,735,7.0588235294117645,864.7058823529413,高价值用户
1000000099,6,853,5.9405940594059405,844.5544554455446,潜力型用户
1000000100,7,943,6.9306930693069315,933.6633663366337,高价值用户
