用户编号,缴费日期,缴费金额（元）,应缴金额,拖欠天数,缴费次数,用户类型,预测用户类型,高价值用户概率
1000150,2018-03-01,99.5,99.5,3.894820983774253,6,大众型用户,低价值用户,0.0088543240150458
1000151,2018-03-01,109.42857142857143,109.42857142857143,4.9850434924503935,7,高价值用户,高价值用户,0.8388544538485517
1000152,2018-03-01,99.14285714285714,99.14285714285714,6.0223913492319525,7,大众型用户,大众型用户,0.05718814549223998
1000153,2018-03-01,76.5,76.5,5.611944461572026,6,低价值用户,低价值用户,0.039981769669933734
1000154,2018-03-01,112.57142857142857,112.57142857142857,4.450498546586712,7,高价值用户,高价值用户,0.8226549122614297
1000155,2018-03-01,102.0,102.0,4.494918015561446,7,大众型用户,大众型用户,0.16930762239237
1000156,2018-03-01,101.57142857142857,101.57142857142857,6.4802241585812865,7,大众型用户,大众型用户,0.09488356675866626
1000157,2018-03-01,97.85714285714286,97.85714285714286,5.293776444743178,7,大众型用户,大众型用户,0.05070439070976646
1000158,2018-03-01,92.5,92.5,4.085291557386592,8,高价值用户,大众型用户,0.08504030549616148
1000159,2018-03-01,104.28571428571428,104.28571428571428,4.429471650465515,7,大众型用户,大众型用户,0.3148771851193991
1000160,2018-03-01,97.57142857142857,97.57142857142857,6.131714475188037,7,大众型用户,大众型用户,0.03603577528859217
1000161,2018-03-01,110.42857142857143,110.42857142857143,3.0978609618771062,7,高价值用户,高价值用户,0.8621525144430288
1000162,2018-03-01,89.7142857142857,89.7142857142857,5.320167016700032,7,大众型用户,大众型用户,0.012365002249829189
1000163,2018-03-01,86.66666666666669,86.66666666666669,3.3241290707895725,6,低价值用户,低价值用户,0.0027277448091287643
1000164,2018-03-01,104.85714285714286,104.85714285714286,2.9558970417796457,7,高价值用户,大众型用户,0.28848485723063316
1000165,2018-03-01,116.5,116.5,3.605525003464011,6,低价值用户,高价值用户,0.8611594444865771
1000166,2018-03-01,98.42857142857143,98.42857142857143,3.374565865489016,7,大众型用户,大众型用户,0.04972431954689019
1000167,2018-03-01,101.57142857142857,101.57142857142857,4.967214018425059,7,大众型用户,大众型用户,0.14911948919131668
1000168,2018-03-01,91.33333333333331,91.33333333333331,4.8199273470515305,6,低价值用户,低价值用户,0.00510228086839305
1000169,2018-03-01,83.375,83.375,4.8357833444333025,8,大众型用户,大众型用户,0.057531522310626415
1000170,2018-03-01,106.0,106.0,3.6338539802443286,7,高价值用户,大众型用户,0.4666364937698741
1000171,2018-03-01,114.0,114.0,4.182376685875483,7,高价值用户,高价值用户,0.6139384103051031
1000172,2018-03-01,101.0,101.0,2.7659832090001792,4,低价值用户,高价值用户,0.9999981283046254
1000173,2018-03-01,90.85714285714286,90.85714285714286,4.820950691589333,7,大众型用户,大众型用户,0.014830241246821568
1000174,2018-03-01,89.85714285714286,89.85714285714286,6.270441299425245,7,大众型用户,大众型用户,0.00891225189164967
1000175,2018-03-01,103.57142857142857,103.57142857142857,7.025489198163598,7,大众型用户,大众型用户,0.13258758095277154
1000176,2018-03-01,102.85714285714286,102.85714285714286,5.5388679875336955,7,大众型用户,大众型用户,0.19962627867805444
1000177,2018-03-01,118.4,118.4,4.470884538035528,5,低价值用户,高价值用户,0.9797918570610497
1000178,2018-03-01,99.5,99.5,4.650956567331728,6,低价值用户,低价值用户,0.01286788854485777
1000179,2018-03-01,86.14285714285714,86.14285714285714,5.922269193844022,7,大众型用户,大众型用户,0.00861694545673487
1000180,2018-03-01,97.14285714285714,97.14285714285714,5.543836484039528,7,大众型用户,大众型用户,0.04010372615618425
1000181,2018-03-01,101.6,101.6,4.928704816660357,5,高价值用户,高价值用户,0.9948910485214746
1000182,2018-03-01,106.85714285714286,106.85714285714286,5.6119150118678105,7,高价值用户,高价值用户,0.5650201842543088
1000183,2018-03-01,184.14285714285717,184.14285714285717,4.447540703317811,7,高价值用户,高价值用户,0.9208279458943034
1000184,2018-03-01,81.28571428571429,81.28571428571429,7.298241688667151,7,大众型用户,大众型用户,0.004536189732672267
1000185,2018-03-01,81.25,81.25,5.481490717916873,4,大众型用户,高价值用户,0.9999870071716103
1000186,2018-03-01,93.0,93.0,5.459235827082887,7,大众型用户,大众型用户,0.017926260375452543
1000187,2018-03-01,76.85714285714286,76.85714285714286,4.830174524685348,7,大众型用户,大众型用户,0.02501767485370407
1000188,2018-03-01,77.6,77.6,4.798108336918945,5,大众型用户,高价值用户,0.9609810724667347
1000189,2018-03-01,102.0,102.0,5.235933972905835,6,高价值用户,低价值用户,0.03296348240942517
1000190,2018-03-01,108.71428571428572,108.71428571428572,3.8336114783428528,7,高价值用户,高价值用户,0.7274117990944259
1000191,2018-03-01,84.66666666666667,84.66666666666667,4.624002122969632,3,高价值用户,高价值用户,0.9999999988016839
1000192,2018-03-01,92.6,92.6,1.5997133753437545,5,大众型用户,高价值用户,0.8343137050618772
1000193,2018-03-01,104.33333333333331,104.33333333333331,4.564940055650423,6,高价值用户,低价值用户,0.04251647028112767
1000194,2018-03-01,142.71428571428572,142.71428571428572,3.0022989968718905,7,高价值用户,高价值用户,0.9999999995408491
1000195,2018-03-01,130.85714285714286,130.85714285714286,4.374148831591502,7,高价值用户,高价值用户,0.6464930983749974
1000196,2018-03-01,108.16666666666669,108.16666666666669,6.849106823438377,6,低价值用户,高价值用户,0.48398762108851506
1000197,2018-03-01,122.5,122.5,8.114192259490922,6,高价值用户,高价值用户,0.9998783165567048
1000198,2018-03-01,142.16666666666666,142.16666666666666,4.032622028361246,6,潜力型用户,高价值用户,0.5077035572811265
1000199,2018-03-01,134.71428571428572,134.71428571428572,3.9265372390987814,7,高价值用户,高价值用户,0.7201647367856143
