,用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型,预测用户类型,高价值用户概率
80,1000000081,7,680,6.930693069306932,673.2673267326733,大众型用户,高价值用户,0.999999999999972
81,1000000082,5,508,7.4626865671641776,758.2089552238806,高价值用户,大众型用户,1.8251181792159577e-15
82,1000000083,7,748,6.930693069306932,740.5940594059406,高价值用户,高价值用户,0.9999999999999982
83,1000000084,7,1289,6.930693069306932,1276.2376237623762,高价值用户,高价值用户,1.0
84,1000000085,7,569,6.930693069306932,563.3663366336633,大众型用户,高价值用户,0.9999999999976907
85,1000000086,4,325,7.6923076923076925,625.0,大众型用户,大众型用户,1.7593911470557548e-20
86,1000000087,7,651,6.930693069306932,644.5544554455447,大众型用户,高价值用户,0.9999999999999114
87,1000000088,7,538,6.930693069306932,532.6732673267327,大众型用户,高价值用户,0.9999999999920794
88,1000000089,5,388,7.246376811594202,562.3188405797101,大众型用户,大众型用户,5.039412123605466e-10
89,1000000090,6,612,7.142857142857142,728.5714285714287,高价值用户,高价值用户,0.9219490011997553
90,1000000091,7,761,6.930693069306932,753.4653465346535,高价值用户,高价值用户,0.9999999999999989
91,1000000092,3,254,8.823529411764705,747.0588235294118,高价值用户,潜力型用户,2.2920035252732244e-38
92,1000000093,5,463,7.246376811594202,671.0144927536232,大众型用户,大众型用户,3.6210381036162424e-12
93,1000000094,6,626,7.142857142857142,745.2380952380953,高价值用户,高价值用户,0.9186870804739727
94,1000000095,7,999,6.930693069306932,989.1089108910893,高价值用户,高价值用户,1.0
95,1000000096,7,916,6.930693069306932,906.9306930693068,高价值用户,高价值用户,1.0
96,1000000097,6,649,5.9405940594059405,642.5742574257425,低价值用户,高价值用户,0.999999999999841
97,1000000098,6,735,7.0588235294117645,864.7058823529413,高价值用户,高价值用户,0.9894117821104343
98,1000000099,6,853,5.9405940594059405,844.5544554455446,潜力型用户,高价值用户,1.0
99,1000000100,7,943,6.930693069306932,933.6633663366337,高价值用户,高价值用户,1.0
