,用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型,预测用户类型,高价值用户概率
51,1000000052,7,766,6.930693069306932,758.4158415841583,高价值用户,高价值用户,0.5939177409399757
52,1000000053,7,694,6.930693069306932,687.1287128712871,大众型用户,大众型用户,0.062173662854530076
53,1000000054,6,459,5.9405940594059405,454.4554455445544,低价值用户,低价值用户,0.003765643385855192
54,1000000055,7,788,6.930693069306932,780.1980198019803,高价值用户,高价值用户,0.6471055065898378
55,1000000056,7,714,6.930693069306932,706.9306930693069,大众型用户,大众型用户,0.13694849963140235
56,1000000057,7,711,6.930693069306932,703.960396039604,大众型用户,大众型用户,0.12118271857287612
57,1000000058,7,685,6.8627450980392135,671.5686274509802,大众型用户,大众型用户,0.039070733723211314
58,1000000059,8,740,7.84313725490196,725.4901960784314,高价值用户,高价值用户,0.5702804182239023
59,1000000060,7,730,6.8627450980392135,715.686274509804,大众型用户,大众型用户,0.21813884114364726
60,1000000061,7,683,6.8627450980392135,669.6078431372549,大众型用户,大众型用户,0.03661827154540199
61,1000000062,7,773,6.930693069306932,765.3465346534654,高价值用户,高价值用户,0.6201982013400235
62,1000000063,7,628,6.930693069306932,621.7821782178218,大众型用户,大众型用户,0.012127539424169253
63,1000000064,6,520,5.9405940594059405,514.8514851485148,低价值用户,低价值用户,0.000625657767934296
64,1000000065,7,734,6.930693069306932,726.7326732673268,高价值用户,大众型用户,0.2989604186560799
65,1000000066,6,699,5.9405940594059405,692.0792079207921,低价值用户,大众型用户,0.16494737935654957
66,1000000067,7,689,6.930693069306932,682.1782178217821,大众型用户,大众型用户,0.05181979736032539
67,1000000068,7,711,6.930693069306932,703.960396039604,大众型用户,大众型用户,0.12118271857287612
68,1000000069,6,548,5.9405940594059405,542.5742574257425,低价值用户,低价值用户,0.0006079238659030956
69,1000000070,8,667,7.920792079207921,660.3960396039604,大众型用户,大众型用户,0.07010829743919673
70,1000000071,7,742,6.930693069306932,734.6534653465346,高价值用户,大众型用户,0.38665607977584443
71,1000000072,7,798,6.930693069306932,790.09900990099,高价值用户,高价值用户,0.6606637155265335
72,1000000073,4,404,3.96039603960396,400.0,低价值用户,高价值用户,0.5191411742557168
73,1000000074,7,636,6.930693069306932,629.7029702970298,大众型用户,大众型用户,0.013449829058959284
74,1000000075,7,629,6.930693069306932,622.7722772277227,大众型用户,大众型用户,0.012267499265487324
75,1000000076,7,725,6.930693069306932,717.821782178218,大众型用户,大众型用户,0.21346849933919218
76,1000000077,7,720,6.930693069306932,712.8712871287129,大众型用户,大众型用户,0.17483275809682444
77,1000000078,5,592,4.950495049504951,586.1386138613861,低价值用户,低价值用户,0.0005075967562887693
78,1000000079,6,597,5.9405940594059405,591.0891089108911,低价值用户,低价值用户,0.001858674833988871
79,1000000080,7,603,6.930693069306932,597.0297029702971,大众型用户,大众型用户,0.010413498646679583
80,1000000081,7,680,6.930693069306932,673.2673267326733,大众型用户,大众型用户,0.03813529326962108
81,1000000082,5,508,7.4626865671641776,758.2089552238806,高价值用户,高价值用户,0.9477965623371329
82,1000000083,7,748,6.930693069306932,740.5940594059406,高价值用户,高价值用户,0.4523807680762432
83,1000000084,7,1289,6.930693069306932,1276.2376237623762,高价值用户,高价值用户,1.0
84,1000000085,7,569,6.930693069306932,563.3663366336633,大众型用户,大众型用户,0.012634837040900475
85,1000000086,4,325,7.6923076923076925,625.0,大众型用户,高价值用户,0.9999514763370086
86,1000000087,7,651,6.930693069306932,644.5544554455447,大众型用户,大众型用户,0.017550271643557564
87,1000000088,7,538,6.930693069306932,532.6732673267327,大众型用户,大众型用户,0.021804692631735
88,1000000089,5,388,7.246376811594202,562.3188405797101,大众型用户,高价值用户,0.9196726857209344
89,1000000090,6,612,7.142857142857142,728.5714285714287,高价值用户,大众型用户,0.20143010049808027
90,1000000091,7,761,6.930693069306932,753.4653465346535,高价值用户,高价值用户,0.5657676682401123
91,1000000092,3,254,8.823529411764705,747.0588235294118,高价值用户,高价值用户,0.9999999999142908
92,1000000093,5,463,7.246376811594202,671.0144927536232,大众型用户,高价值用户,0.7558058111525844
93,1000000094,6,626,7.142857142857142,745.2380952380953,高价值用户,大众型用户,0.319041148758614
94,1000000095,7,999,6.930693069306932,989.1089108910893,高价值用户,高价值用户,0.9999977189692127
95,1000000096,7,916,6.930693069306932,906.9306930693068,高价值用户,高价值用户,0.9939860823185191
96,1000000097,6,649,5.9405940594059405,642.5742574257425,低价值用户,低价值用户,0.020377173076206973
97,1000000098,6,735,7.0588235294117645,864.7058823529413,高价值用户,高价值用户,0.9225130921093496
98,1000000099,6,853,5.9405940594059405,844.5544554455446,潜力型用户,潜力型用户,0.4700952020585232
99,1000000100,7,943,6.930693069306932,933.6633663366337,高价值用户,高价值用户,0.9992816757015548
