,用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型,预测用户类型,高价值用户概率
27,1000000028,6,571,6.0,571.0,低价值用户,低价值用户,2.950637112375527e-07
28,1000000029,7,691,6.930693069306932,684.1584158415842,大众型用户,大众型用户,0.050596791808524805
29,1000000030,7,671,6.930693069306932,664.3564356435644,大众型用户,大众型用户,0.02535420805198436
30,1000000031,7,655,6.930693069306932,648.5148514851485,大众型用户,大众型用户,0.016095522842686484
31,1000000032,6,519,7.0588235294117645,610.5882352941177,大众型用户,大众型用户,0.06930825527276516
32,1000000033,6,545,5.9405940594059405,539.6039603960396,低价值用户,低价值用户,5.641243194744226e-08
33,1000000034,7,721,7.0,721.0,高价值用户,大众型用户,0.20419585784811345
34,1000000035,7,769,7.0,769.0,高价值用户,高价值用户,0.7420187684710515
35,1000000036,6,645,6.9767441860465125,750.0,高价值用户,高价值用户,0.5140681747306155
36,1000000037,7,627,7.0,627.0,大众型用户,大众型用户,0.009786453855768944
37,1000000038,6,534,6.0,534.0,低价值用户,低价值用户,1.8465661877318075e-07
38,1000000039,7,750,6.7961165048543695,728.1553398058252,潜力型用户,大众型用户,0.4086340868763651
39,1000000040,7,656,7.0,656.0,大众型用户,大众型用户,0.01846310228446276
40,1000000041,6,683,7.317073170731707,832.9268292682927,高价值用户,高价值用户,0.9902185501141966
41,1000000042,7,612,7.0,612.0,大众型用户,大众型用户,0.007985186503197343
42,1000000043,7,640,7.0,640.0,大众型用户,大众型用户,0.012509851827243897
43,1000000044,6,601,6.0,601.0,低价值用户,低价值用户,8.268839305854408e-07
44,1000000045,7,711,7.0,711.0,大众型用户,大众型用户,0.13429259638911373
45,1000000046,6,711,6.0,711.0,低价值用户,低价值用户,0.005142161689845221
46,1000000047,7,654,6.930693069306932,647.5247524752475,大众型用户,大众型用户,0.015692933168698697
47,1000000048,6,678,5.9405940594059405,671.2871287128712,低价值用户,低价值用户,3.662438685487317e-05
48,1000000049,7,589,6.930693069306932,583.1683168316831,大众型用户,大众型用户,0.006754783854121788
49,1000000050,7,568,6.930693069306932,562.3762376237623,大众型用户,大众型用户,0.00724411618140083
50,1000000051,6,597,7.0588235294117645,702.3529411764706,大众型用户,大众型用户,0.17147092849566672
51,1000000052,7,766,6.930693069306932,758.4158415841583,高价值用户,高价值用户,0.6597977479130497
52,1000000053,7,694,6.930693069306932,687.1287128712871,大众型用户,大众型用户,0.056716944492845645
53,1000000054,6,459,5.9405940594059405,454.4554455445544,低价值用户,低价值用户,3.5873403682933145e-07
54,1000000055,7,788,6.930693069306932,780.1980198019803,高价值用户,高价值用户,0.7693451259905052
55,1000000056,7,714,6.930693069306932,706.9306930693069,大众型用户,大众型用户,0.1276008324887838
56,1000000057,7,711,6.930693069306932,703.960396039604,大众型用户,大众型用户,0.11256829431261813
57,1000000058,7,685,6.8627450980392135,671.5686274509802,大众型用户,大众型用户,0.037707592076694
58,1000000059,8,740,7.84313725490196,725.4901960784314,高价值用户,高价值用户,0.9983188909363074
59,1000000060,7,730,6.8627450980392135,715.686274509804,高价值用户,大众型用户,0.2197653557746527
60,1000000061,7,683,6.8627450980392135,669.6078431372549,大众型用户,大众型用户,0.035216885991563446
61,1000000062,7,773,6.930693069306932,765.3465346534654,高价值用户,高价值用户,0.7096591579621317
62,1000000063,7,628,6.930693069306932,621.7821782178218,大众型用户,大众型用户,0.009252049300242678
63,1000000064,6,520,5.9405940594059405,514.8514851485148,低价值用户,低价值用户,5.924057439887276e-08
64,1000000065,7,734,6.930693069306932,726.7326732673268,高价值用户,大众型用户,0.2879907733068899
65,1000000066,6,699,5.9405940594059405,692.0792079207921,低价值用户,低价值用户,0.0002868207529912807
66,1000000067,7,689,6.930693069306932,682.1782178217821,大众型用户,大众型用户,0.046953909988468136
67,1000000068,7,711,6.930693069306932,703.960396039604,大众型用户,大众型用户,0.11256829431261813
68,1000000069,6,548,5.9405940594059405,542.5742574257425,低价值用户,低价值用户,5.761286484750085e-08
69,1000000070,8,667,7.920792079207921,660.3960396039604,大众型用户,高价值用户,0.9900763251278965
70,1000000071,7,742,6.930693069306932,734.6534653465346,高价值用户,大众型用户,0.3824238875240985
71,1000000072,7,798,6.930693069306932,790.09900990099,高价值用户,高价值用户,0.790910406676698
72,1000000073,4,404,3.96039603960396,400.0,低价值用户,高价值用户,0.9999999999999929
73,1000000074,7,636,6.930693069306932,629.7029702970298,大众型用户,大众型用户,0.010596324633011469
74,1000000075,7,629,6.930693069306932,622.7722772277227,大众型用户,大众型用户,0.009397892688554017
75,1000000076,7,725,6.930693069306932,717.821782178218,高价值用户,大众型用户,0.20172436491708814
76,1000000077,7,720,6.930693069306932,712.8712871287129,大众型用户,大众型用户,0.16402159416184184
77,1000000078,5,592,4.950495049504951,586.1386138613861,低价值用户,高价值用户,0.9842422183721545
78,1000000079,6,597,5.9405940594059405,591.0891089108911,低价值用户,低价值用户,1.8390751539612837e-07
79,1000000080,7,603,6.930693069306932,597.0297029702971,大众型用户,大众型用户,0.007076409664827362
80,1000000081,7,680,6.930693069306932,673.2673267326733,大众型用户,大众型用户,0.034051776155704636
81,1000000082,5,508,7.4626865671641776,758.2089552238806,高价值用户,高价值用户,0.999458228283157
82,1000000083,7,748,6.930693069306932,740.5940594059406,高价值用户,大众型用户,0.45916256008849166
83,1000000084,7,1289,6.930693069306932,1276.2376237623762,高价值用户,高价值用户,1.0
84,1000000085,7,569,6.930693069306932,563.3663366336633,大众型用户,大众型用户,0.007192646796701964
85,1000000086,4,325,7.6923076923076925,625.0,大众型用户,高价值用户,0.9999999984016306
86,1000000087,7,651,6.930693069306932,644.5544554455447,大众型用户,大众型用户,0.014576647967848477
87,1000000088,7,538,6.930693069306932,532.6732673267327,大众型用户,大众型用户,0.01069938020038116
88,1000000089,5,388,7.246376811594202,562.3188405797101,大众型用户,高价值用户,0.9974617717578744
89,1000000090,6,612,7.142857142857142,728.5714285714287,高价值用户,大众型用户,0.3522202213230482
90,1000000091,7,761,6.930693069306932,753.4653465346535,高价值用户,高价值用户,0.6133385197680024
91,1000000092,3,254,8.823529411764705,747.0588235294118,高价值用户,高价值用户,1.0
92,1000000093,5,463,7.246376811594202,671.0144927536232,大众型用户,高价值用户,0.990209489089524
93,1000000094,6,626,7.142857142857142,745.2380952380953,高价值用户,高价值用户,0.5017403557780299
94,1000000095,7,999,6.930693069306932,989.1089108910893,高价值用户,高价值用户,0.9999987058753159
95,1000000096,7,916,6.930693069306932,906.9306930693068,高价值用户,高价值用户,0.9968413035297077
96,1000000097,6,649,5.9405940594059405,642.5742574257425,低价值用户,低价值用户,3.3938477193380784e-06
97,1000000098,6,735,7.0588235294117645,864.7058823529413,高价值用户,高价值用户,0.9666376682648826
98,1000000099,6,853,5.9405940594059405,844.5544554455446,潜力型用户,潜力型用户,0.07215676204258663
99,1000000100,7,943,6.930693069306932,933.6633663366337,高价值用户,高价值用户,0.999614283150245
